original,translation
Ошибка прослушки сокета: {},Lizdo klausymo klaida: {}
Ошибка сжатия,Suspaudimo klaida
Ошибка создания каталога: {},Klaida kuriant katalogą: {}
Ошибка создания сокета: {},Lizdo kūrimo klaida: {}
DPAD/Стики - Навигация по страницам\n\n     ZR+ZL - Переход к странице... \n\n       L/R - Навигация по главам   \n\n       (-) - Эта подсказка         \n\n       (+) - Меню                  ,DPAD/Lazdelės - Puslapių naršymas\n\n     ZR+ZL - Eiti į puslapį... \n\n       L/R - Skyrių naršymas   \n\n       (-) - Ši užuomina         \n\n       (+) - Meniu                  
Ошибка создания сохранения,Klaida kuriant išsaugojimą
Ошибка удаления каталога: {},Katalogo ištrynimo klaida: {}
Ошибка удаления файла: {},Failo ištrynimo klaida: {}
Ошибка установки флагов сокета: {},Klaida nustatant lizdo vėliavėles: {}
Ошибка чтения записи об игре: {},Klaida skaitant žaidimo įrašą: {}
Ошибка чтения каталога: {},Katalogo skaitymo klaida: {}
Ошибка чтения регистров max17050: ,Klaida skaitant max17050 registrus: 
Ошибка чтения сохранённых параметров контроллера: ,Klaida skaitant išsaugotus valdiklio parametrus: 
Ошибка чтения файла: {},Failo skaitymo klaida: {}
DeviceId                : {0:} ({0:016X}),DeviceId                    : {0:} ({0:016X})
Ошибок не найдено,Klaidų nerasta
Ошибочный номер DLC (Должен быть в диапазоне 0x001-0x7FF),Netinkamas DLC numeris (Turi būti diapazone 0x001-0x7FF)
Ошибочный номер DLC (Должен быть в диапазоне 1-2047),Neteisingas DLC numeris (Turi būti diapazone 1-2047)
"Ошибочный тикет {0}: kg {1:02X}, pm {2:02X}","Netinkamas bilietas {0}: kg {1:02X}, pm {2:02X}"
Папка LFS не найдена,LFS aplankas nerastas
Папка для бекапа сохранений,Išsaugotų duomenų atsarginės kopijos aplankas
Папка для дампа игр,Žaidimų išklotinės aplankas
Папка журналов,Žurnalų aplankas
Папка обновления очищена,Atnaujinimų aplankas išvalytas
DramId                  : {} ({}),DramId                      : {} ({})
Параметры FTP,FTP nustatymai
Параметры MTP,MTP nustatymai
Параметры установки,Diegimo parinktys
Пароль,Slaptažodis
Перевернуть джойконы,Apversti joyconus
Перевернуть экран,Apversti ekraną
Передача окончена,Perdavimas baigtas
Переименование объекта,Objekto pervadinimas
Переименовать,Pervadinti
Перейти к первой странице,Eiti į pirmą puslapį
Emummc включён               : {},Emummc įjungtas                : {}
Перейти к последней странице,Eiti į paskutinį puslapį
Перейти к странице...,Eiti į puslapį...
Переместить,Perkelti
Переместить в NAND,Perkelti į NAND
Переместить на SD карту,Perkelti į SD kortelę
"Перемещение {} ({}, {}) в {}","Perkeliama {} ({}, {}) į {}"
Перемещение {} записей,Perkeliama {} įrašų
Перемещение {} записи,Perkeliamas {} įrašas
Перемещение {} игр,{} žaidimų perkėlimas
Перемещение {} игры,Perkeliama {} žaidimas
FTP сервер (нажмите B для остановки),FTP serveris (sustabdymui paspauskite B)
Перемещение контента,Perkeliamas turinys
Перенос строк,Eilutės pertraukimas
Переносить слова,Perkelti žodžius
Переоткрытие ФС сохранения: {},Išsaugojimo FS atidarymas iš naujo: {}
Пишется новая запись о контенте...,Rašomas naujas turinio įrašas...
Пишется новый cnmt.nca...,Rašomas naujas cnmt.nca...
Платформа               : {},Platforma                   : {}
Подготовка...,Ruošiama...
Подключаемся к {}...,Jungiamasi prie {}...
FullCap               : {:04x} ({} mAh),FullCap                      : {:04x} ({} mAh)
Подключено к {}:{},Prisijungta prie {}:{}
Подмена SDK,SDK pakeitimas
Подменить SDK,Pakeisti SDK
Подсвечивать файлы обновлений,Paryškinti atnaujinimo failus
Подсчитывается размер установки...,Skaičiuojamas diegimo dydis...
Подсчитывается размер установки...{}%,Skaičiuojamas diegimo dydis...{}%
Подсчитываются объекты в альбоме в NAND,Skaičiuojami objektai albume NAND
Подсчитываются объекты в альбоме на SD карте,Skaičiuojami objektai albume SD kortelėje
Подсчёт метаданных...,Skaičiuojami metaduomenys...
Подсчёт основного хэша,Skaičiuojama pagrindinė maiša
FullCapNom            : {:04x} ({} mAh),FullCapNom                   : {:04x} ({} mAh)
Подсчёт хэша секции,Skaičiuojama sekcijos maiša
"Пожалуйста, подключите вашу консоль к ПК кабелем USB Type-C или нажмите B",Prašome prijungti konsolę prie kompiuterio USB Type-C kabeliu arba paspauskite B
"Пожалуйста, подождите...",Prašome palaukti...
Поиск записей об ошибках,Ieškoma klaidų įrašų
Поиск неиспользуемых тикетов,Ieškoma nenaudotų bilietų
Поиск подготовленного системного обновления,Ieškoma paruošto sistemos atnaujinimo
Поиск потерянных тайтлов,Ieškoma prarastų pavadinimų
Поиск потерянных файлов в NAND,Ieškoma prarastų failų NAND
Поиск потерянных файлов на SD,Ieškoma prarastų failų SD
Поиск сохранений удалённых пользователей...,Ieškoma ištrintų vartotojų išsaugojimų...
Get chargeInfoFields : {},Get chargeInfoFields : {}
Показываемая версия     : {},Rodoma versija              : {}
Показываемое название   : {},Rodomas pavadinimas         : {}
Показывать 'Обновить отсюда',Rodyti 'Atnaujinti iš čia'
Показывать объединённый NSP,Rodyti sujungtą NSP
Показывать папку 'Mods&Cheats',Rodyti aplanką 'Mods&Cheats'
Показывать прогрев кеша,Rodyti talpyklos šildymą
Показывать размер LFS (долго),Rodyti LFS dydį (lėtai)
Показывать секунды,Rodyti sekundes
Показывать часы в статусе,Rodyti laikrodį būsenoje
Поколение ключа              : {},Rakto generacija               : {}
Git commit hash              : {:016X},Git commit hash                : {:016X}
Полная ёмкость      : {} mAh,Pilna talpa             : {} mAh
Получен список из {} записей,Gautas sąrašas su {} įrašais
Получен список из {} записи,Gautas sąrašas su {} įrašais
Получение версий установленных игр,Gaunamos įdiegtų žaidimų versijos
Получение информации из hac_versionlist...,Gaunama informacija iš hac_versionlist...
Получение информации из системы...,Gaunama sistemos informacija...
Получение информации об играх...,Gaunama informacija apie žaidimus...
Получение списка тикетов...,Gaunamas bilietų sąrašas...
Получение файла: {} МБ ({:.2f} МБ/сек),Gaunamas failas: {} MB ({:.2f} MB/s)
Получение файла: {}/\x1b[36;1m{}\x1b[37;1m МБ (\x1b[32;1m{}%\x1b[37;1m) (\x1b[33;1m{:.2f}\x1b[37;1m МБ/сек),Gaunamas failas: {}/\x1b[36;1m{}\x1b[37;1m MB (\x1b[32;1m{}%\x1b[37;1m) (\x1b[33;1m{:.2f}\x1b[37;1m MB/sek)
   Получение списка бекапов...{}/{}    ,   Gaunamas atsarginių kopijų sąrašas...{}/{}    
IavgEmpty             : {:04x},IavgEmpty                    : {:04x}
Полученное время: {},Gautas laikas: {}
Полученный размер: {},Gautas dydis: {}
"Получено: {}, ({:.2f} МБ/сек)","Gauta: {}, ({:.2f} MB/s)"
Пользователь {} не найден. Создание сохранения невозможно,Vartotojas {} nerastas. Išsaugojimo sukurti neįmanoma
Пользователь не найден,Vartotojas nerastas
Пользовательские хранилища,Pasirinktinės saugyklos
Попытаться разобрать,Bandyti išanalizuoti
Попытка исправить,Bandoma taisyti
Портрет (90°),Stačias (90°)
Португальский,Portugalų
"L+⬅-Начало, L+➡-Конец, ZL-Регистр, ZR-Ввод, Y-Пробел, X-Забой, R3-Язык","L+⬅-Pradžia, L+➡-Pabaiga, ZL-Registras, ZR-Įvesti, Y-Tarpas, X-Trinti, R3-Kalba"
После удаления игры не будут запускаться,Po ištrynimo žaidimai nebus paleidžiami
Посылается файл: {},Siunčiamas failas: {}
Посылается файл: {}/\x1b[36;1m{}\x1b[37;1m МБ (\x1b[32;1m{}\x1b[37;1m%) (\x1b[33;1m{:.2f}\x1b[37;1m МБ/сек),Siunčiamas failas: {}/\x1b[36;1m{}\x1b[37;1m MB (\x1b[32;1m{}\x1b[37;1m%) (\x1b[33;1m{:.2f}\x1b[37;1m MB/s)
Превышен размер командного буфера,Viršytas komandų buferio dydis
Предел входного тока             : {} mA,Įėjimo srovės riba                 : {} mA
Предел напряжения заряда батареи : {} mV,Baterijos įkrovimo įtampos riba    : {} mV
LFS мод.: -,LFS režimas: -
Предназначение          : {},Paskirtis                   : {}
Предоставить по FTP,Pateikti per FTP
Предупреждения: ,Įspėjimai: 
Прекращение прослушивания на {}:{},Sustabdomas klausymasis {}:{}
Прервано пользователем,Nutraukta vartotojo
Привязка к {}:{},Prisijungimas prie {}:{}
Принято соединение от {}:{},Priimtas ryšys iš {}:{}
Проверить целостность,Patikrinti vientisumą
"LFS мод.: Присутствует, Размер: ","LFS modifikacija: Yra, Dydis: "
Проверка magic...,Tikrinama magic...
"Проверка {} ({}, {}), {}","Tikrinimas {} ({}, {}), {}"
Проверка картриджа...,Tikrinamas kasetė...
Проверка на наличие  {}...,Tikrinama {}...
Проверка обновлений,Tikrinami atnaujinimai
Проверка обновлений игр,Tikrinami žaidimų atnaujinimai
Проверка сохранений,Tikrinami išsaugoti duomenys
Проверка целостности ({}),Vientisumo patikra ({})
Проверяется: {},Tikrinama: {}
Проверять хэш при установке,Tikrinti maišą diegimo metu
"LFS мод.: Присутствует, Размер: подсчёт отключен в настройках","LFS mod.: Yra, Dydis: skaičiavimas išjungtas nustatymuose"
Проверяются бекапы...,Tikrinamos atsarginės kopijos...
Проверяются сохранения,Tikrinami išsaugojimai
Программа {}. Control не найдена,Programa {}. Control nerasta
Программа {}. Exefs не найдена,Programa {}. Exefs nerasta
Программа {}. Romfs не найдена,Programa {}. Romfs nerasta
Произошла неизвестная ошибка,Įvyko nežinoma klaida
Произошла ошибка:,Įvyko klaida:
Произошла ошибка: {},Įvyko klaida: {}
Пропускаем файл до начала secure раздела ,Praleidžiamas failas iki saugios sekcijos pradžios 
LFS папка игры,LFS žaidimo aplankas
Пропускается: {}          \r,Praleidžiama: {}          \r
Прослушивание на {}:{},Klausoma {}:{}
Просмотр SD карты,Naršyti SD kortelę
Просмотр USB носителей,Naršyti USB įrenginius
Просмотр альбома по HTTP,Peržiūrėti albumą per HTTP
Просмотр раздела SYSTEM,Naršyti SYSTEM skaidinį
Просмотр раздела USER,Naršyti USER skaidinį
Просмотр сети,Naršyti tinklą
MTP Респондер (нажмите B для остановки),MTP Atsakiklis (paspauskite B sustabdymui)
Просмотр сохранений,Peržiūrėti išsaugojimus
Просмотр тикетов,Peržiūrėti bilietus
Просмотр установленных игр,Peržiūrėti įdiegtus žaidimus
Просмотреть игры,Peržiūrėti žaidimus
Просто запуск,Tiesiog paleisti
Разбор,Analizė
Раздел secure не найден,Secure skyrius nerastas
Размер  : ,Dydis  : 
"Размер  : {}, {} файл","Dydis  : {}, {} failas"
"Размер  : {}, {} файла","Dydis  : {}, {} failas"
"Размер  : {}, {} файлов","Dydis  : {}, {} failai"
Размер посылаемого файла   : {},Siunčiamo failo dydis: {}
Размер сохранений     : {},Išsaugojimų dydis     : {}
Размер: {},Dydis: {}
Разрешено,Leidžiama
Распаковать в подкаталог,Išskleisti į pakatalogį
Распаковать сюда,Išskleisti čia
Распаковка файла,Išpakuojamas failas
Растущие цветы:     {},Augančios gėlės:     {}
Nintendo Account задан и связан,Nintendo paskyra nustatyta ir susieta
Регион                  : {},Regionas                    : {}
Регистрация контента {}...,Registruojamas turinys {}...
Регистрация файла {}...,Registruojamas failas {}...
Регистры котроллера MAX17050,MAX17050 valdiklio registrai
Редактирование возрастного рейтинга...,Amžiaus įvertinimo redagavimas...
Редактирование запретов,Redaguoti apribojimus
Режим HiZ зарядки       : {},HiZ įkrovimo režimas        : {}
Режим киоска            : {},Kiosko režimas              : {}
Рендеринг FB2,FB2 atvaizdavimas
"Nintendo Account задан, но не связан","Nintendo Account nustatytas, bet nesusietas"
Родительский PIN        : {},Tėvų PIN                    : {}
Сброс требуемой версии,Atstatyti reikalaujamą versiją
Сброс требуемой версии к ,Reikalaujamos versijos atstatymas į 
Сбросить требуемую версию,Atstatyti reikalaujamą versiją
Сведения,Informacija
Сведения...,Informacija...
Свободное место в хранилище: {},Laisva saugyklos vieta: {}
Свободное место: {},Laisva vieta: {}
Сгенерировать и установить,Generuoti ir įdiegti
   Получение списка сохранений...   ,   Gaunamas išsaugojimų sąrašas...   
Nintendo Account не задан,Nintendo Account nenustatytas
Сдампить на SD карту,Iškelti į SD kortelę
Сдампить на внешний USB,Iškelti į išorinį USB
Сдампить текущую прошивку,Iškelti dabartinę programinę įrangą
Сдамплено: {}/{} ({}%) ({:.2f} МБ/сек),Iškeltas: {}/{} ({}%) ({:.2f} MB/sek)
Сделать бекап,Sukurti atsarginę kopiją
"Сделать бекап, если новее","Daryti atsarginę kopiją, jei naujesnė"
Северная Америка,Šiaurės Amerika
Сентябрь,Rugsėjis
Сепия,Sepija
Сервер запущен,Serveris paleistas
Сервер предлагает выполнить обновление DBI\n\nНажите (+) для согласия\nЛюбую другую кнопку для отмены,Serveris siūlo atlikti DBI atnaujinimą\n\nPaspauskite (+) patvirtinimui\nBet kurį kitą mygtuką atšaukimui
Серийный # прочитанный  : {},Serijinis nr. nuskaitytas   : {}
Серийный # угаданный    : {},Serijinis nr. atspėtas      : {}
Серийный номер         : {},Serijos numeris           : {}
Сессии,Sesijos
Сессия закрыта,Sesija uždaryta
Сессия открыта,Sesija atidaryta
Силовая роль                     : {},Maitinimo vaidmuo                  : {}
Синхронизация времени по NTP,NTP laiko sinchronizacija
Системные приложения,Sisteminės programos
QrTable00             : {:04x},QrTable00                    : {:04x}
Системный по умолчанию,Sistemos numatytasis
Сканирование директорий...,Skenuojami katalogai...
Сканирование игр...,Skenuojami žaidimai...
Скачано {}/{},Atsisiųsta {}/{}
Скачивание файла не удалось,Failo atsisiuntimas nepavyko
Скорость USB интерфейса: ,USB sąsajos greitis: 
Скорость передачи: {:.2f} МБ/сек,Perdavimo greitis: {:.2f} MB/sek
Смещать курсор после выделения,Perkelti žymeklį po pasirinkimo
Собираются сведения...,Renkama informacija...
Соединение сброшено,Ryšys atstatytas
QrTable10             : {:04x},QrTable10                    : {:04x}
Сожжено предохранителей : {},Sudeginta saugiklių         : {}
Создавать LFS папку,Sukurti LFS aplanką
Создан zip-файл: ,Sukurtas zip failas: 
Создание DLC анлокера,DLC atrakintojo kūrimas
Создание NSP,NSP kūrimas
Создание sdmc:/versions.txt,Kuriamas sdmc:/versions.txt
Создание бекапа сохранения ,Kuriama išsaugotų duomenų atsarginė kopija 
Создание дампа ({}),Kuriamas išklotinė ({})
Создание дампа: {},Kuriamas išklotinė: {}
Создание единого репака,Vieningo perpakavimo kūrimas
QrTable20             : {:04x},QrTable20                    : {:04x}
Создание записи об игре...,Kuriamas žaidimo įrašas...
Создание каталога: ,Kuriamas katalogas: 
Создание новой записи об игре...,Kuriamas naujas žaidimo įrašas...
Создание объекта: ,Objekto kūrimas: 
Создание плейсхолдера: {}...,Kuriamas vietažymis: {}...
"Создание репака Id: {:016X}, Версия: {}, Тип: {}","Kuriamas repakavimas Id: {:016X}, Versija: {}, Tipas: {}"
Создание строк... {}%,Kuriamos eilutės... {}%
Создание таблицы имён,Kuriama vardų lentelė
Создание тела файла,Kuriamas failo turinys
Создание точки доступа...,Kuriama prieigos taškas...
QrTable30             : {:04x},QrTable30                    : {:04x}
Создание фейковой записи... ,Kuriamas netikras įrašas... 
Создание хэш таблицы,Maišos lentelės kūrimas
Создание ярлыка,Kuriama nuoroda
Создано новое сохранение. Восстанавливаю бекап в него...,Sukurtas naujas išsaugojimas. Atkuriama atsarginė kopija...
Создать sdmc:/versions.txt,Sukurti sdmc:/versions.txt
Создать единый репак,Sukurti vieną repack
Создать новое сохранение...,Sukurti naują išsaugojimą...
Создать новый каталог...,Sukurti naują katalogą...
Создать новый файл...,Sukurti naują failą...
Создать ярлык,Sukurti nuorodą
RCOMP0                : {:04x},RCOMP0                       : {:04x}
Создать ярлык для hbmenu,Sukurti nuorodą hbmenu
Создать ярлык на рабочий стол для DBI...,Sukurti DBI nuorodą darbalaukyje...
Создать ярлык с аргументами...,Sukurti nuorodą su argumentais...
Создаётся MTP хранилище: ,Kuriama MTP saugykla: 
Создаётся обновлённая запись об игре...,Kuriamas atnaujintas žaidimo įrašas...
Сохранение для {} уже существует,Išsaugoti duomenys {} jau egzistuoja
Сохранения,Išsaugoti duomenys
Сохранения будут удалены!,Išsaugoti duomenys bus ištrinti!
Сохранения только в RO режиме,Išsaugojimai tik RO režime
RTC запущены (приблизительно) : {},RTC paleista (apytiksliai)      : {}
Сохранения удалённых игр ({}),Ištrintų žaidimų išsaugojimai ({})
Сохранения установленных игр ({}),Įdiegtų žaidimų išsaugojimai ({})
Сохранёные в системе параметры котроллера батареи,Sistemoje išsaugoti baterijos valdiklio parametrai
Средняя температура : {}°C,Vidutinė temperatūra    : {}°C
Статистика игры ,Žaidimo statistika 
Строка поиска: ,Paieškos eilutė: 
Сумма %% заряд-разряд : {} (~{} 0-100 циклов),Suma %% įkrovimas-iškrovimas : {} (~{} 0-100 ciklų)
Существующая запись об игре не найдена,Esamas žaidimo įrašas nerastas
Существующее сохранение не найдено и новое не может быть создано,Esamas išsaugojimas nerastas ir naujo sukurti nepavyksta
SDK {} уже был экспортирован: {},SDK {} jau buvo eksportuotas: {}
Тайтл не установлен,Pavadinimas neįdiegtas
Тайтл установлен,Pavadinimas įdiegtas
Тайтлы с ошибками:,Pavadinimai su klaidomis:
Текущая ёмкость                  : {}%,Dabartinis talpa                   : {}%
Текущая ёмкость     : {} mAh,Dabartinis talpa        : {} mAh
Текущее время: {},Dabartinis laikas: {}
Текущее напряжение  : {} mV,Dabartinė įtampa        : {} mV
Текущий заряд       : {}%,Dabartinis įkrovimas    : {}%
Текущий ток         : {} mA,Dabartinė srovė         : {} mA
SDK на подмену не найдены,Pakeitimui SDK nerasta
Тема,Tema
Тема отображения,Rodymo tema
Температура         : {}°C,Temperatūra             : {}°C
Температура батареи              : {}°C,Baterijos temperatūra              : {}°C
Тикет исправлен,Bilietas ištaisytas
Тикеты,Bilietai
Тикеты не найдены,Bilietų nerasta
Тип SoC                 : {},SoC tipas                   : {}
Тип источника питания          : {},Maitinimo šaltinio tipas              : {}
864,864
881,881
"больше жертв, тем выше вероятность,","tikimybė, kad finale viskas pavyks.' Jų"
быстро разгадали тайный замысел,pasityčioti. Jie leido svečiui įlįsti į
"оцепили его там со всех сторон,",kaimynai jį atima.
"Или, говоря иными словами: «Чем","'Kuo daugiau aukų, tuo didesnė"
"тактика буксует, но они твёрдо верят","tiki tą vieną šansą iš milijono, kuriuo"
при котором всё заработает… И они,greičiau padaryti tas pačias pirmąsias
"и теперь всякий раз, когда он",to have a good laugh. They allowed the
лишь временным залогом величия».,"didybės užstato.' Arba, kitaip tariant:"
"в тот один шанс из миллиона,",viskas suveiks... Ir jie skuba kuo
чтобы за ними пришла победа».,"ritmai. Bunkeris, valstybinė leidykla"
"такой беды, которая не являлась бы","nelaimės, kuri nebūtų tik laikina"
"из своих складов с техникой, но","kiekvieną kartą, kai jis pamato lustą,"
"999999 первых фатальных ошибок,",pergalė.» I. I. Pizdobolovas. Proveržio
спешат поскорее совершить те самые,"999999 fatalių klaidų, kad po jų ateitų"
"Те, будучи хитрыми из-за интернетов,",slaptą sumanymą ir nusprendė iš širdies
прямиком к соседям за деталями.,"gudresni dėl internetų, greitai atspėjo"
исправно принося отрицательный рост.,tvarkingai atnešdamas neigiamą augimą.
догмате их глубинной логики: «Нет,giluminės logikos dogmoje: 'Nėra tokios
что в финале всё получится». Их,"taktika striūkčioja, bet jie tvirtai"
"прямо из техники, стоящей в садах.",nusiųstas savanoris tiesiai pas
и решили всласть поглумиться. Они,"vieną savo sandėlių su technika, bet"
"видит чип, соседи его отбирают.»",guest to climb into one of their
"падают, потому что чипов не хватает",nei unitazuose. O kaimynai lustus
"ни в системах наводки, ни в унитазах.","tariamai gauna tiesiai iš technikos,"
позволили гостю залезть в один,"apsupo jį ten iš visų pusių, ir dabar"
«У жителей болот всё идёт по плану.,«Pelkių gyventojams viskas vyksta pagal
"Процесс обнуления продолжается,","planą. Nulinimo procesas tęsiasi,"
А у соседей чипы якобы добывают,stovinčios soduose. Iš pelkių buvo
С болот был заслан доброволец,"kaimynus dėl detalių. Tie, būdami"
"          Бункер, госиздат «Зазеркалье».","          pareiškė, kad raketos krenta,"
  И. И. Пиздоболов. Ритмы прорыва.,  'Užveidrodis'. Vyriausiasis strategas
"    Главный стратег объявил, что ракеты",    trūksta lustų nei taikymosi sistemo
    Весь секрет таится в фундаментальном,    Visa paslaptis slypi fundamentalioj
"          Бункер, госиздат «Зазеркалье».","          pareiškė, kad raketos krenta,"
  И. И. Пиздоболов. Ритмы прорыва.,  'Užveidrodis'. Vyriausiasis strategas
"    Главный стратег объявил, что ракеты",    trūksta lustų nei taikymosi sistemo
    Весь секрет таится в фундаментальном,    Visa paslaptis slypi fundamentalioj
